,x,y,v,id
0,347192.43313307303,5810395.006805061,0.9611161806323094,"i=1,j=16"
1,347202.43313307303,5810395.006805061,0.3604583202097428,"i=1,j=17"
2,347212.43313307303,5810395.006805061,0.9628578710209433,"i=1,j=18"
3,347222.43313307303,5810395.006805061,0.9273019274820965,"i=1,j=19"
4,347232.43313307303,5810395.006805061,0.736923313498849,"i=1,j=20"
5,347242.43313307303,5810395.006805061,0.03019425657812691,"i=1,j=21"
6,347252.43313307303,5810395.006805061,0.06825757661914023,"i=1,j=22"
7,347262.43313307303,5810395.006805061,0.421847084218564,"i=1,j=23"
8,347272.43313307303,5810395.006805061,0.5483292783859524,"i=1,j=24"
9,347282.43313307303,5810395.006805061,0.02648573311701974,"i=1,j=25"
10,347292.43313307303,5810395.006805061,0.4430244833483483,"i=1,j=26"
11,347302.43313307303,5810395.006805061,0.5392845590297274,"i=1,j=27"
12,347312.43313307303,5810395.006805061,0.2055739255905259,"i=1,j=28"
13,347322.43313307303,5810395.006805061,0.682090170742215,"i=1,j=29"
14,347332.43313307303,5810395.006805061,0.7500906497017835,"i=1,j=30"
15,347342.43313307303,5810395.006805061,0.368039446192435,"i=1,j=31"
16,347192.43313307303,5810385.006805061,0.736677297738145,"i=2,j=16"
17,347202.43313307303,5810385.006805061,0.9658505763428834,"i=2,j=17"
18,347212.43313307303,5810385.006805061,0.5938664395530969,"i=2,j=18"
19,347222.43313307303,5810385.006805061,0.8199387926012596,"i=2,j=19"
20,347232.43313307303,5810385.006805061,0.5439272726322147,"i=2,j=20"
21,347242.43313307303,5810385.006805061,0.8571261636997753,"i=2,j=21"
22,347252.43313307303,5810385.006805061,0.579161839883459,"i=2,j=22"
23,347262.43313307303,5810385.006805061,0.09386574726493413,"i=2,j=23"
24,347272.43313307303,5810385.006805061,0.5537861425562084,"i=2,j=24"
25,347282.43313307303,5810385.006805061,0.6728173825286939,"i=2,j=25"
26,347292.43313307303,5810385.006805061,0.3013891326738082,"i=2,j=26"
27,347302.43313307303,5810385.006805061,0.9827599334606391,"i=2,j=27"
28,347312.43313307303,5810385.006805061,0.2855040242097412,"i=2,j=28"
29,347322.43313307303,5810385.006805061,0.0775051882832094,"i=2,j=29"
30,347332.43313307303,5810385.006805061,0.22387099079081874,"i=2,j=30"
31,347342.43313307303,5810385.006805061,0.3724523937724986,"i=2,j=31"
32,347192.43313307303,5810375.006805061,0.7305354688762036,"i=3,j=16"
33,347202.43313307303,5810375.006805061,0.3398459126680743,"i=3,j=17"
34,347212.43313307303,5810375.006805061,0.6858199749216637,"i=3,j=18"
35,347222.43313307303,5810375.006805061,0.745243131373154,"i=3,j=19"
36,347232.43313307303,5810375.006805061,0.33153526228875685,"i=3,j=20"
37,347242.43313307303,5810375.006805061,0.5640848621294496,"i=3,j=21"
38,347252.43313307303,5810375.006805061,0.16493263619477372,"i=3,j=22"
39,347262.43313307303,5810375.006805061,0.6192805544384821,"i=3,j=23"
40,347272.43313307303,5810375.006805061,0.12480421647259887,"i=3,j=24"
41,347282.43313307303,5810375.006805061,0.5959152031500831,"i=3,j=25"
42,347292.43313307303,5810375.006805061,0.6451352894570156,"i=3,j=26"
43,347302.43313307303,5810375.006805061,0.20662171779536942,"i=3,j=27"
44,347312.43313307303,5810375.006805061,0.006596979845505224,"i=3,j=28"
45,347322.43313307303,5810375.006805061,0.806601032646427,"i=3,j=29"
46,347332.43313307303,5810375.006805061,0.36874379584366135,"i=3,j=30"
47,347192.43313307303,5810365.006805061,0.971316524244911,"i=4,j=16"
48,347202.43313307303,5810365.006805061,0.9286765509365893,"i=4,j=17"
49,347212.43313307303,5810365.006805061,0.2207944813507683,"i=4,j=18"
50,347222.43313307303,5810365.006805061,0.07187885040731412,"i=4,j=19"
51,347232.43313307303,5810365.006805061,0.2210300762758317,"i=4,j=20"
52,347242.43313307303,5810365.006805061,0.9903613621628041,"i=4,j=21"
53,347252.43313307303,5810365.006805061,0.1357584544001238,"i=4,j=22"
54,347262.43313307303,5810365.006805061,0.6715267922576892,"i=4,j=23"
55,347272.43313307303,5810365.006805061,0.7250110463057551,"i=4,j=24"
56,347282.43313307303,5810365.006805061,0.6916047787587971,"i=4,j=25"
57,347292.43313307303,5810365.006805061,0.3456926169986726,"i=4,j=26"
58,347302.43313307303,5810365.006805061,0.6264981464462953,"i=4,j=27"
59,347312.43313307303,5810365.006805061,0.9110565905997567,"i=4,j=28"
60,347322.43313307303,5810365.006805061,0.6545540305917195,"i=4,j=29"
61,347332.43313307303,5810365.006805061,0.7288449335489645,"i=4,j=30"
62,347192.43313307303,5810355.006805061,0.32618594910990906,"i=5,j=16"
63,347202.43313307303,5810355.006805061,0.21924877042063706,"i=5,j=17"
